pos	freq
V1	-96	0.00700747270232775
V2	-95	0.00748082167068314
V3	-94	0.00727986861161113
V4	-93	0.00795475149367094
V5	-92	0.00777186772582261
V6	-91	0.00763023351014324
V7	-90	0.00778819702722356
V8	-89	0.00800394295887328
V9	-88	0.00789591065539356
V10	-87	0.00772517926258955
V11	-86	0.00818950201172706
V12	-85	0.00864430380327172
V13	-84	0.00797238401375889
V14	-83	0.00723933721907159
V15	-82	0.00874202287340609
V16	-81	0.00886979310052314
V17	-80	0.00792835711217473
V18	-79	0.00855913104529989
V19	-78	0.0081983341549128
V20	-77	0.0089722871931418
V21	-76	0.00863410374081675
V22	-75	0.0087164468092335
V23	-74	0.00929680944935249
V24	-73	0.00777000816599181
V25	-72	0.00831005578311061
V26	-71	0.00881520528087382
V27	-70	0.00895738999726767
V28	-69	0.00848277550337051
V29	-68	0.00861050941331973
V30	-67	0.00855408880724005
V31	-66	0.00900370302220841
V32	-65	0.00951768206826703
V33	-64	0.00921946234183151
V34	-63	0.00957920297807517
V35	-62	0.00890513045668816
V36	-61	0.00889292173474183
V37	-60	0.00949026994714283
V38	-59	0.00972574313337319
V39	-58	0.00950526372904614
V40	-57	0.00951545540574302
V41	-56	0.00887699483534543
V42	-55	0.00945739320671143
V43	-54	0.00908088612805087
V44	-53	0.00960628363803009
V45	-52	0.00941341854898548
V46	-51	0.00946834616462621
V47	-50	0.00960366321429762
V48	-49	0.00972048078763525
V49	-48	0.0108875628815218
V50	-47	0.0101301709002371
V51	-46	0.009885676447049
V52	-45	0.010312829907706
V53	-44	0.0107675020088863
V54	-43	0.00976512911628714
V55	-42	0.00993228089979183
V56	-41	0.0101568655780339
V57	-40	0.0104930960286721
V58	-39	0.0098570119905138
V59	-38	0.0101336240544534
V60	-37	0.010559689888121
V61	-36	0.0102738818641288
V62	-35	0.0111916526660792
V63	-34	0.00978424541613785
V64	-33	0.0101813369178397
V65	-32	0.0102275342190744
V66	-31	0.0120555503598882
V67	-30	0.0113044987978331
V68	-29	0.0104693059923338
V69	-28	0.0107982819901496
V70	-27	0.0108647901165001
V71	-26	0.0118630454669951
V72	-25	0.0101556483920821
V73	-24	0.0107820416344961
V74	-23	0.0115116366838132
V75	-22	0.011403490120505
V76	-21	0.0114041885887172
V77	-20	0.0110363755170941
V78	-19	0.0107297513547121
V79	-18	0.0116903501564118
V80	-17	0.0110494962555333
V81	-16	0.0121992800382992
V82	-15	0.0115005448249578
V83	-14	0.011369812963914
V84	-13	0.0128452201042754
V85	-12	0.0114493003107699
V86	-11	0.0121836562078169
V87	-10	0.0114935365463173
V88	-9	0.00985083025210504
V89	-8	0.0104054903283797
V90	-7	0.00972334150975089
V91	-6	0.00886886423442585
V92	-5	0.0117548153011545
V93	-4	0.00686520317110169
V94	-3	0.00927452445532771
V95	-2	0.00803796194884113
V96	-1	0.0114704885979822
V97	0	0.00825213920889573
V98	0	0.0111042917089326
V99	0	0.0147509820473494
V100	0	0.00980438136286457
V101	0	0.01030175010908
V102	0	0.0095047939115884
V103	0	0.0101978338264741
V104	0	0.0157215006575794
V105	0	0.00995170242209292
V106	1	0.00912938983846953
V107	2	0.0121378887603671
V108	3	0.00811138102233698
V109	4	0.00976213133976195
V110	5	0.00763679789702025
V111	6	0.0121083093975595
V112	7	0.00924839823070142
V113	8	0.0113422928857631
V114	9	0.011690120631903
V115	10	0.0110386187435841
V116	11	0.0113326991871634
V117	12	0.0120964179658927
V118	13	0.0132090951752493
V119	14	0.0127297961403369
V120	15	0.0121091459439495
V121	16	0.0112412998021661
V122	17	0.0131804536333623
V123	18	0.0112143575208533
V124	19	0.0134031732067079
V125	20	0.0112312965356452
V126	21	0.0118917622809407
V127	22	0.0125808688578142
V128	23	0.0108529816225151
V129	24	0.0103796102469775
V130	25	0.0105646396667404
V131	26	0.0110472336139876
V132	27	0.0104861756579543
V133	28	0.0112035823971851
V134	29	0.0112029916777472
V135	30	0.0106024416967444
V136	31	0.0107012934395907
V137	32	0.0112276790728429
V138	33	0.010808498909686
V139	34	0.0104171456963365
V140	35	0.0102308386229107
V141	36	0.0104826753290895
V142	37	0.00954427145776483
V143	38	0.0110543117221405
V144	39	0.0114263954916774
V145	40	0.0105137647225759
V146	41	0.00971314684279691
V147	42	0.010669365339203
V148	43	0.00966713122594717
V149	44	0.00958642614335381
V150	45	0.00865622514530315
V151	46	0.0102969845551591
V152	47	0.00978985196514146
V153	48	0.00928810622956962
V154	49	0.0103584179606856
V155	50	0.00937176717260726
V156	51	0.0102607192326664
V157	52	0.00926768480886821
V158	53	0.0101138707730088
V159	54	0.00963414514641451
V160	55	0.00909712092977828
V161	56	0.00987741193336697
V162	57	0.00886798938742366
V163	58	0.00967601341762831
V164	59	0.00926141335811183
V165	60	0.00845896487562262
V166	61	0.010045889307298
V167	62	0.00809294771491172
V168	63	0.00856564281435676
V169	64	0.00949036343259915
V170	65	0.00796996580367605
V171	66	0.00783065426528354
V172	67	0.00793081537753043
V173	68	0.00786229858881904
V174	69	0.00840297875296685
V175	70	0.00838590695332795
V176	71	0.00880151671902063
V177	72	0.00862404034725249
V178	73	0.00821182756361398
V179	74	0.00818180468307369
V180	75	0.00889662616548193
V181	76	0.00863165327746812
V182	77	0.00844893444278706
V183	78	0.00819394193981297
V184	79	0.00858172368693349
V185	80	0.00795353420978268
V186	81	0.00885740609751068
V187	82	0.00810381330296116
V188	83	0.007336546417381
V189	84	0.00861931559569184
V190	85	0.00729687238916816
V191	86	0.0082003914223315
V192	87	0.00734931774361683
V193	88	0.00724944384426514
V194	89	0.00810539256673256
V195	90	0.00801373580128589
V196	91	0.00727145216957053
V197	92	0.00839717709518883
V198	93	0.00764056314284606
V199	94	0.00741895339190883
V200	95	0.00767836638787678
