pos	freq
V1	-96	0.00760805788592513
V2	-95	0.00800596433058855
V3	-94	0.00771127736872509
V4	-93	0.00835573190853636
V5	-92	0.00784430375019922
V6	-91	0.00827876373776622
V7	-90	0.00848764668991525
V8	-89	0.00817901512965062
V9	-88	0.00793040145208415
V10	-87	0.00790956439782986
V11	-86	0.0084006324930744
V12	-85	0.00828400650269869
V13	-84	0.00872534713997068
V14	-83	0.00816669660987384
V15	-82	0.00851050003307257
V16	-81	0.00848679129462306
V17	-80	0.00865393903859978
V18	-79	0.0088838423439943
V19	-78	0.00876539516985488
V20	-77	0.00880950145876445
V21	-76	0.00845438072270486
V22	-75	0.00916694398204572
V23	-74	0.00852761000783946
V24	-73	0.00875746401971838
V25	-72	0.00863242988804448
V26	-71	0.00879476256473482
V27	-70	0.00917461892737917
V28	-69	0.00872328155755206
V29	-68	0.00912568576503509
V30	-67	0.00882614624851779
V31	-66	0.00865618792000958
V32	-65	0.00908309516157058
V33	-64	0.00915908573772108
V34	-63	0.00952219872358091
V35	-62	0.00898542394202173
V36	-61	0.00955266591240795
V37	-60	0.00980328407272931
V38	-59	0.0096744735680524
V39	-58	0.00961742595658064
V40	-57	0.00928638055695291
V41	-56	0.00955905776480312
V42	-55	0.00975739408742349
V43	-54	0.00932158990725447
V44	-53	0.00952828507765744
V45	-52	0.00949850179127953
V46	-51	0.00975349551509303
V47	-50	0.00991668358707557
V48	-49	0.0097704950966806
V49	-48	0.0103195154922047
V50	-47	0.00992270884148837
V51	-46	0.0102099041570096
V52	-45	0.0104891072227305
V53	-44	0.0100775380656883
V54	-43	0.00980693824640485
V55	-42	0.00968909026275458
V56	-41	0.0104424958476081
V57	-40	0.0104525418736788
V58	-39	0.0102050161839113
V59	-38	0.009888354886479
V60	-37	0.0102679668504684
V61	-36	0.0103185989972488
V62	-35	0.0107629335180434
V63	-34	0.0104611826074838
V64	-33	0.0103745468147734
V65	-32	0.0103860592327736
V66	-31	0.0109682963019925
V67	-30	0.0109386116026458
V68	-29	0.0103196987911959
V69	-28	0.0108049860306825
V70	-27	0.010793278507543
